name;simlib-rt-runtime;simlib-rt-parsing;simlib-rt-relation
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.09; 0.0861603; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata;0.81; 0.676264; 0.1508
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.09; 0.0862192; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata;0.78; 0.651214; 0.1496
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.09; 0.0861468; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata;0.07; 0.068082; 0.0030
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.08; 0.086243; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata;0.08; 0.0844734; 0.0044
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.09; 0.0862358; 0.0044
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata;1.9; 1.54661; 0.3573
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.0; 0.00113836; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata;1.91; 1.5495; 0.3642
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.02; 0.0253398; 0.0009
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata;1.9; 1.54446; 0.3576
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.09; 0.0878788; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata;1.92; 1.57368; 0.3616
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.02; 0.0251142; 0.0009
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata;1.87; 1.54278; 0.3642
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.0; 0.000522272; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata;1.93; 1.55098; 0.3560
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.09; 0.0866001; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata;1.9; 1.54714; 0.3648
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.09; 0.086993; 0.0044
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata;1.95; 1.58268; 0.3725
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.09; 0.0865086; 0.0043
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata;1.91; 1.54067; 0.3625
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;0.0; 0.00241777; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata;1.9; 1.54568; 0.3568
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;0.02; 0.0250934; 0.0008
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata;1.92; 1.55011; 0.3597
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.0; 0.00119394; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata;1.95; 1.57954; 0.3600
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.0; 0.00138793; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata;1.93; 1.55005; 0.3589
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;0.8; 0.651395; 0.1494
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata;1.89; 1.54859; 0.3636
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;0.82; 0.662315; 0.1515
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata;1.91; 1.54591; 0.3587
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.0; 0.000544551; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata;1.93; 1.57471; 0.3586
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;0.0; 0.00195255; 0.0002
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata;1.9; 1.54766; 0.3595
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;0.0; 0.000523702; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata;1.91; 1.55013; 0.3625
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;0.0; 0.00594908; 0.0003
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata;1.93; 1.54763; 0.3571
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;0.0; 0.00197636; 0.0002
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata;1.98; 1.59322; 0.3590
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.0; 0.00599996; 0.0003
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata;1.91; 1.54532; 0.3646
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.02; 0.0251249; 0.0009
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata;1.89; 1.5483; 0.3590
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.0; 0.00597897; 0.0003
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-lhs.mata;1.9; 1.5462; 0.3587
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-rhs.mata;0.07; 0.0686643; 0.0031
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-lhs.mata;1.96; 1.59227; 0.3647
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-rhs.mata;0.02; 0.0250881; 0.0009
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-lhs.mata;1.91; 1.54544; 0.3569
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-rhs.mata;0.09; 0.0840572; 0.0043
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-lhs.mata;1.59; 1.30185; 0.2855
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-rhs.mata;1.74; 1.40138; 0.3164
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-lhs.mata;1.71; 1.38473; 0.3043
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-rhs.mata;1.74; 1.40729; 0.3159
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata;1.83; 1.48933; 0.3403
