name;simlib-rt-runtime;simlib-rt-parsing;simlib-rt-relation
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.0; 0.00115219; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata;1.98; 1.59465; 0.3895
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.0; 0.00139672; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata;1.96; 1.59077; 0.3870
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;0.84; 0.672983; 0.1592
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata;2.01; 1.61461; 0.3766
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;0.84; 0.672895; 0.1630
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata;1.98; 1.61071; 0.3778
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.0; 0.000545682; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata;2.02; 1.60425; 0.3992
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;0.0; 0.00196036; 0.0002
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata;1.94; 1.5858; 0.3764
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;0.0; 0.000537282; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata;2.0; 1.60069; 0.3760
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;0.0; 0.00607494; 0.0003
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata;1.99; 1.60993; 0.3800
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;0.0; 0.0019493; 0.0002
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata;2.02; 1.60302; 0.3981
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.01; 0.00815201; 0.0004
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata;2.0; 1.60214; 0.3784
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.02; 0.0258037; 0.0009
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata;1.97; 1.59303; 0.3800
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.0; 0.00608355; 0.0003
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-lhs.mata;1.97; 1.61807; 0.3808
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-rhs.mata;0.07; 0.0696784; 0.0031
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-lhs.mata;1.97; 1.58812; 0.4006
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-rhs.mata;0.03; 0.0321694; 0.0009
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-lhs.mata;2.01; 1.60237; 0.3801
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-rhs.mata;0.08; 0.0862077; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-lhs.mata;1.63; 1.34319; 0.2970
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-rhs.mata;1.8; 1.45608; 0.3370
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-lhs.mata;1.74; 1.40529; 0.3223
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-rhs.mata;1.79; 1.44849; 0.3295
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata;1.89; 1.57203; 0.3589
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;1.91; 1.53185; 0.3804
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata;1.92; 1.53246; 0.3789
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;1.95; 1.58111; 0.3745
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBad-A-0-lhs.mata;0.19; 0.188252; 0.0085
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBad-A-0-rhs.mata;0.22; 0.221874; 0.0092
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBadi-B-3-lhs.mata;0.27; 0.260832; 0.0103
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBadi-B-3-rhs.mata;0.27; 0.255473; 0.0102
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBadi-B-4-lhs.mata;0.27; 0.261175; 0.0105
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBadi-B-4-rhs.mata;0.26; 0.256302; 0.0104
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-lhs.mata;1.87; 1.4388; 0.4345
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-rhs.mata;2.06; 1.56291; 0.4851
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-lhs.mata;2.03; 1.54831; 0.4784
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-rhs.mata;2.01; 1.55893; 0.4722
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata;2.04; 1.56848; 0.4814
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;2.01; 1.56346; 0.4976
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata;2.04; 1.55828; 0.4736
