name;iny-runtime;iny-parsing;iny-relation
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-lhs.mata;28.8; 1.59263; 27.2498
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-rhs.mata;0.16; 0.0880076; 0.0700
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-lhs.mata;22.34; 1.32974; 21.0453
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-rhs.mata;24.3; 1.42803; 22.9102
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-lhs.mata;23.51; 1.3779; 22.1602
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-rhs.mata;24.35; 1.4312; 22.9658
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata;27.17; 1.52874; 25.6599
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;26.84; 1.51637; 25.3970
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata;26.93; 1.51306; 25.4361
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;28.15; 1.55947; 26.6699
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBad-A-0-lhs.mata;0.39; 0.189244; 0.2169
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBad-A-0-rhs.mata;0.44; 0.222773; 0.2239
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBadi-B-3-lhs.mata;0.5; 0.254539; 0.2538
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBadi-B-3-rhs.mata;0.51; 0.251844; 0.2530
